User,Group,Language Group,Individual,Task,Media Condition,Trial,Order in Total,Gender,User Spoken Language
16A,16,E-L1 vs E-L2,U1,thumb,A,1,11,M,Non-Native
16B,16,E-L1 vs E-L2,U2,thumb,A,1,11,F,Native
16A,16,E-L1 vs E-L2,U1,eye,V,2,11,M,Non-Native
16B,16,E-L1 vs E-L2,U2,eye,V,2,11,F,Native
16A,16,E-L1 vs E-L2,U1,wing,F,3,11,M,Non-Native
16B,16,E-L1 vs E-L2,U2,wing,F,3,11,F,Native
17A,17,E-L1 vs E-L2,U1,wing,A,1,12,M,Native
17B,17,E-L1 vs E-L2,U2,wing,A,1,12,F,Non-Native
17A,17,E-L1 vs E-L2,U1,thumb,V,2,12,M,Native
17B,17,E-L1 vs E-L2,U2,thumb,V,2,12,F,Non-Native
17A,17,E-L1 vs E-L2,U1,eye,F,3,12,M,Native
17B,17,E-L1 vs E-L2,U2,eye,F,3,12,F,Non-Native
18A,18,E-L1 vs E-L2,U1,eye,A,1,10,F,Non-Native
18B,18,E-L1 vs E-L2,U2,eye,A,1,10,M,Native
18A,18,E-L1 vs E-L2,U1,wing,V,2,10,F,Non-Native
18B,18,E-L1 vs E-L2,U2,wing,V,2,10,M,Native
18A,18,E-L1 vs E-L2,U1,thumb,F,3,10,F,Non-Native
18B,18,E-L1 vs E-L2,U2,thumb,F,3,10,M,Native
37A,37,E-L2 vs E-L2,U1,wing,F,1,10,F,Non-Native
37B,37,E-L2 vs E-L2,U2,wing,F,1,10,F,Non-Native
37A,37,E-L2 vs E-L2,U1,thumb,V,2,10,F,Non-Native
37B,37,E-L2 vs E-L2,U2,thumb,V,2,10,F,Non-Native
37A,37,E-L2 vs E-L2,U1,eye,A,3,10,F,Non-Native
37B,37,E-L2 vs E-L2,U2,eye,A,3,10,F,Non-Native
38A,38,E-L2 vs E-L2,U1,thumb,F,1,9,F,Non-Native
38B,38,E-L2 vs E-L2,U2,thumb,F,1,9,F,Non-Native
38A,38,E-L2 vs E-L2,U1,eye,V,2,9,F,Non-Native
38B,38,E-L2 vs E-L2,U2,eye,V,2,9,F,Non-Native
38A,38,E-L2 vs E-L2,U1,wing,A,3,9,F,Non-Native
38B,38,E-L2 vs E-L2,U2,wing,A,3,9,F,Non-Native
39A,39,E-L2 vs E-L2,U1,eye,F,1,14,F,Non-Native
39B,39,E-L2 vs E-L2,U2,eye,F,1,14,F,Non-Native
39A,39,E-L2 vs E-L2,U1,wing,V,2,14,F,Non-Native
39B,39,E-L2 vs E-L2,U2,wing,V,2,14,F,Non-Native
39A,39,E-L2 vs E-L2,U1,thumb,A,3,14,F,Non-Native
39B,39,E-L2 vs E-L2,U2,thumb,A,3,14,F,Non-Native
40A,40,E-L2 vs E-L2,U1,wing,F,1,18,M,Non-Native
40B,40,E-L2 vs E-L2,U2,wing,F,1,18,F,Non-Native
40A,40,E-L2 vs E-L2,U1,thumb,A,2,18,M,Non-Native
40B,40,E-L2 vs E-L2,U2,thumb,A,2,18,F,Non-Native
40A,40,E-L2 vs E-L2,U1,eye,V,3,18,M,Non-Native
40B,40,E-L2 vs E-L2,U2,eye,V,3,18,F,Non-Native
41A,41,E-L2 vs E-L2,U1,eye,F,1,5,F,Non-Native
41B,41,E-L2 vs E-L2,U2,eye,F,1,5,M,Non-Native
41A,41,E-L2 vs E-L2,U1,wing,A,2,5,F,Non-Native
41B,41,E-L2 vs E-L2,U2,wing,A,2,5,M,Non-Native
41A,41,E-L2 vs E-L2,U1,thumb,V,3,5,F,Non-Native
41B,41,E-L2 vs E-L2,U2,thumb,V,3,5,M,Non-Native
42A,42,E-L2 vs E-L2,U1,thumb,F,1,13,F,Non-Native
42B,42,E-L2 vs E-L2,U2,thumb,F,1,13,M,Non-Native
42A,42,E-L2 vs E-L2,U1,eye,A,2,13,F,Non-Native
42B,42,E-L2 vs E-L2,U2,eye,A,2,13,M,Non-Native
42A,42,E-L2 vs E-L2,U1,wing,V,3,13,F,Non-Native
42B,42,E-L2 vs E-L2,U2,wing,V,3,13,M,Non-Native
43A,43,E-L2 vs E-L2,U1,wing,V,1,11,M,Non-Native
43B,43,E-L2 vs E-L2,U2,wing,V,1,11,F,Non-Native
43A,43,E-L2 vs E-L2,U1,thumb,F,2,11,M,Non-Native
43B,43,E-L2 vs E-L2,U2,thumb,F,2,11,F,Non-Native
43A,43,E-L2 vs E-L2,U1,eye,A,3,11,M,Non-Native
43B,43,E-L2 vs E-L2,U2,eye,A,3,11,F,Non-Native
44A,44,E-L2 vs E-L2,U1,thumb,V,1,3,M,Non-Native
44B,44,E-L2 vs E-L2,U2,thumb,V,1,3,M,Non-Native
44A,44,E-L2 vs E-L2,U1,eye,F,2,3,M,Non-Native
44B,44,E-L2 vs E-L2,U2,eye,F,2,3,M,Non-Native
44A,44,E-L2 vs E-L2,U1,wing,A,3,3,M,Non-Native
44B,44,E-L2 vs E-L2,U2,wing,A,3,3,M,Non-Native
45A,45,E-L2 vs E-L2,U1,eye,V,1,1,M,Non-Native
45B,45,E-L2 vs E-L2,U2,eye,V,1,1,M,Non-Native
45A,45,E-L2 vs E-L2,U1,wing,F,2,1,M,Non-Native
45B,45,E-L2 vs E-L2,U2,wing,F,2,1,M,Non-Native
45A,45,E-L2 vs E-L2,U1,thumb,A,3,1,M,Non-Native
45B,45,E-L2 vs E-L2,U2,thumb,A,3,1,M,Non-Native
46A,46,E-L2 vs E-L2,U1,eye,V,1,17,F,Non-Native
46B,46,E-L2 vs E-L2,U2,eye,V,1,17,F,Non-Native
46A,46,E-L2 vs E-L2,U1,wing,A,2,17,F,Non-Native
46B,46,E-L2 vs E-L2,U2,wing,A,2,17,F,Non-Native
46A,46,E-L2 vs E-L2,U1,thumb,F,3,17,F,Non-Native
46B,46,E-L2 vs E-L2,U2,thumb,F,3,17,F,Non-Native
47A,47,E-L2 vs E-L2,U1,wing,V,1,16,M,Non-Native
47B,47,E-L2 vs E-L2,U2,wing,V,1,16,F,Non-Native
47A,47,E-L2 vs E-L2,U1,thumb,A,2,16,M,Non-Native
47B,47,E-L2 vs E-L2,U2,thumb,A,2,16,F,Non-Native
47A,47,E-L2 vs E-L2,U1,eye,F,3,16,M,Non-Native
47B,47,E-L2 vs E-L2,U2,eye,F,3,16,F,Non-Native
48A,48,E-L2 vs E-L2,U1,thumb,V,1,15,F,Non-Native
48B,48,E-L2 vs E-L2,U2,thumb,V,1,15,F,Non-Native
48A,48,E-L2 vs E-L2,U1,eye,A,2,15,F,Non-Native
48B,48,E-L2 vs E-L2,U2,eye,A,2,15,F,Non-Native
