User,Group,Language Group,Individual,Task,Media Condition,Trial,Order in Total,Gender,idea,group idea,% idea in group
14A,14,E-L1 vs E-L2,U1,eye,F,2,15,F,3,8,37.5
14B,14,E-L1 vs E-L2,U2,eye,F,2,15,M,5,8,62.5
14A,14,E-L1 vs E-L2,U1,thumb,V,3,15,F,2,8,25
14B,14,E-L1 vs E-L2,U2,thumb,V,3,15,M,6,8,75
15A,15,E-L1 vs E-L2,U1,thumb,A,1,18,F,5,12,41.66666667
15B,15,E-L1 vs E-L2,U2,thumb,A,1,18,M,7,12,58.33333333
15A,15,E-L1 vs E-L2,U1,wing,F,2,18,F,8,18,44.44444444
15B,15,E-L1 vs E-L2,U2,wing,F,2,18,M,10,18,55.55555556
15A,15,E-L1 vs E-L2,U1,eye,V,3,18,F,11,24,45.83333333
15B,15,E-L1 vs E-L2,U2,eye,V,3,18,M,13,24,54.16666667
16A,16,E-L1 vs E-L2,U1,thumb,A,1,11,M,10,21,47.61904762
16B,16,E-L1 vs E-L2,U2,thumb,A,1,11,F,11,21,52.38095238
16A,16,E-L1 vs E-L2,U1,eye,V,2,11,M,12,28,42.85714286
16B,16,E-L1 vs E-L2,U2,eye,V,2,11,F,16,28,57.14285714
16A,16,E-L1 vs E-L2,U1,wing,F,3,11,M,6,14,42.85714286
16B,16,E-L1 vs E-L2,U2,wing,F,3,11,F,8,14,57.14285714
17A,17,E-L1 vs E-L2,U1,wing,A,1,12,M,5,15,33.33333333
17B,17,E-L1 vs E-L2,U2,wing,A,1,12,F,10,15,66.66666667
17A,17,E-L1 vs E-L2,U1,thumb,V,2,12,M,4,8,50
17B,17,E-L1 vs E-L2,U2,thumb,V,2,12,F,4,8,50
17A,17,E-L1 vs E-L2,U1,eye,F,3,12,M,3,7,42.85714286
17B,17,E-L1 vs E-L2,U2,eye,F,3,12,F,4,7,57.14285714
18A,18,E-L1 vs E-L2,U1,eye,A,1,10,F,5,16,31.25
18B,18,E-L1 vs E-L2,U2,eye,A,1,10,M,11,16,68.75
18A,18,E-L1 vs E-L2,U1,wing,V,2,10,F,4,12,33.33333333
18B,18,E-L1 vs E-L2,U2,wing,V,2,10,M,8,12,66.66666667
18A,18,E-L1 vs E-L2,U1,thumb,F,3,10,F,6,13,46.15384615
18B,18,E-L1 vs E-L2,U2,thumb,F,3,10,M,7,13,53.84615385
37A,37,E-L2 vs E-L2,U1,wing,F,1,10,F,9,21,42.85714286
37B,37,E-L2 vs E-L2,U2,wing,F,1,10,F,12,21,57.14285714
37A,37,E-L2 vs E-L2,U1,thumb,V,2,10,F,6,10,60
37B,37,E-L2 vs E-L2,U2,thumb,V,2,10,F,4,10,40
37A,37,E-L2 vs E-L2,U1,eye,A,3,10,F,8,15,53.33333333
37B,37,E-L2 vs E-L2,U2,eye,A,3,10,F,7,15,46.66666667
38A,38,E-L2 vs E-L2,U1,thumb,F,1,9,F,5,11,45.45454545
38B,38,E-L2 vs E-L2,U2,thumb,F,1,9,F,6,11,54.54545455
38A,38,E-L2 vs E-L2,U1,eye,V,2,9,F,5,11,45.45454545
38B,38,E-L2 vs E-L2,U2,eye,V,2,9,F,6,11,54.54545455
38A,38,E-L2 vs E-L2,U1,wing,A,3,9,F,4,10,40
38B,38,E-L2 vs E-L2,U2,wing,A,3,9,F,6,10,60
39A,39,E-L2 vs E-L2,U1,eye,F,1,14,F,2,5,40
39B,39,E-L2 vs E-L2,U2,eye,F,1,14,F,3,5,60
