User,Group,Language Group,Individual,Task,Media Condition,Trial,Order in Total,Gender,User Spoken Language,0.0(threshold)_UnitMotion_time (second),0.05_(threshold)_UnitMotion_time (second),0.1_(threshold)_UnitMotion_time (second),percenatge of 0.1 th gesture usage time,0.15_(threshold)_UnitMotion_time (second),percenatge of 0.15 th gesture usage time,0.2_(threshold)_UnitMotion_time (second),percenatge of 0.2 th gesture usage time,0.25_(threshold)_UnitMotion_time (second),percenatge of 0.25 th gesture usage time,0.3_(threshold)_UnitMotion_time (second),percenatge of 0.3 th gesture usage time,0.35_(threshold)_UnitMotion_time (second),percenatge of 0.35 th gesture usage time,0.4_(threshold)_UnitMotion_time (second),percenatge of 0.4 th gesture usage time,0.45_(threshold)_UnitMotion_time (second),0.5_(threshold)_UnitMotion_time (second),0.1_threshold_UnitMotion_averageTime,0.15_threshold_UnitMotion_averageTime,0.2_threshold_UnitMotion_averageTime,0.25_threshold_UnitMotion_averageTime,0.3_threshold_UnitMotion_averageTime,0.35_threshold_UnitMotion_averageTime,0.4_threshold_UnitMotion_averageTime
4A,4,E-L1 vs E-L2,U1,wing,F,1,16,M,Native,604.559,327.736,338.875,0.564791667,290.903,0.484838333,246.486,0.41081,109.448,0.182413333,112.282,0.187136667,115.752,0.19292,0,0,0,0,5.945175439,20.77878571,49.2972,54.724,112.282,115.752,0
4B,4,E-L1 vs E-L2,U2,wing,F,1,16,F,Non-Native,604.599,249.618,282.974,0.471623333,320.084,0.533473333,382.182,0.63697,198.312,0.33052,0,0,0,0,0,0,0,0,6.580790698,15.24209524,54.59742857,198.312,0,0,0
4A,4,E-L1 vs E-L2,U1,thumb,A,2,16,M,Native,604.59,279.547,159.662,0.266103333,216.111,0.360185,208.453,0.347421667,179.385,0.298975,101.542,0.169236667,5.975,0.009958333,4.782,0.00797,0.983,0,2.801087719,8.311961538,14.8895,16.30772727,10.1542,0.663888889,0.797
4B,4,E-L1 vs E-L2,U2,thumb,A,2,16,F,Non-Native,604.559,254.968,246.385,0.410641667,317.492,0.529153333,348.537,0.580895,43.21,0.072016667,0,0,0,0,0,0,0,0,3.285133333,9.921625,31.68518182,21.605,0,0,0
4A,4,E-L1 vs E-L2,U1,eye,V,3,16,M,Native,605.057,311.369,257.757,0.429595,141.377,0.235628333,194.252,0.323753333,228.53,0.380883333,202.26,0.3371,200.958,0.33493,24.476,0.040793333,143.866,136.142,2.16602521,3.213113636,7.194518519,14.283125,15.55846154,16.7465,2.719555556
4B,4,E-L1 vs E-L2,U2,eye,V,3,16,F,Non-Native,605.399,321.697,136.172,0.226953333,165.63,0.27605,266.183,0.443638333,216.881,0.361468333,386.903,0.644838333,275.294,0.458823333,61.714,0.102856667,0.067,0,1.640626506,4.246923077,12.09922727,15.4915,55.27185714,91.76466667,30.857
5A,5,E-L1 vs E-L2,U1,eye,F,1,4,F,Non-Native,604.561,310.442,218.225,0.363708333,355.102,0.591836667,272.118,0.45353,427.775,0.712958333,217.988,0.363313333,383.256,0.63876,88.125,0.146875,88.125,294.541,2.11868932,7.246979592,10.88472,30.55535714,24.22088889,63.876,44.0625
5B,5,E-L1 vs E-L2,U2,eye,F,1,4,F,Native,604.567,199.321,273.461,0.455768333,280.793,0.467988333,312.448,0.520746667,280.662,0.46777,480.618,0.80103,14.051,0.023418333,0,0,0,0,1.353767327,2.894773196,7.266232558,20.04728571,120.1545,14.051,0
5A,5,E-L1 vs E-L2,U1,wing,A,2,4,F,Non-Native,604.632,322.394,312.098,0.520163333,62.357,0.103928333,8.178,0.01363,8.077,0.013461667,99.44,0.165733333,0,0,0,0,0,0,18.35870588,10.39283333,2.726,4.0385,99.44,0,0
5B,5,E-L1 vs E-L2,U2,wing,A,2,4,F,Native,604.628,283.773,401.259,0.668765,371.661,0.619435,289.676,0.482793333,291.238,0.485396667,217.627,0.362711667,0,0,0,0,0,0,6.369190476,16.89368182,28.9676,48.53966667,108.8135,0,0
5A,5,E-L1 vs E-L2,U1,thumb,V,3,4,F,Non-Native,604.334,269.814,273.315,0.455525,264.929,0.441548333,230.746,0.384576667,339.376,0.565626667,346.633,0.577721667,367.474,0.612456667,224.494,0.374156667,275.513,0,0.815865672,1.68744586,3.076613333,9.427111111,23.10886667,52.49628571,224.494
5B,5,E-L1 vs E-L2,U2,thumb,V,3,4,F,Native,604.033,267.673,341.074,0.568456667,372.938,0.621563333,322.823,0.538038333,268.815,0.448025,173.656,0.289426667,0.068,0.000113333,0.068,0.000113333,0.068,0.068,1.671931373,3.45312963,6.208134615,16.8009375,57.88533333,0.068,0.068
6A,6,E-L1 vs E-L2,U1,thumb,F,1,1,F,Non-Native,604.595,256.997,318.744,0.53124,243.67,0.406116667,218.687,0.364478333,267.409,0.445681667,268.948,0.448246667,236.402,0.394003333,154.501,0.257501667,0,0,1.442280543,3.431971831,7.81025,15.72994118,38.42114286,47.2804,77.2505
6B,6,E-L1 vs E-L2,U2,thumb,F,1,1,M,Native,604.562,198.808,274.825,0.458041667,302.222,0.503703333,323.54,0.539233333,314.783,0.524638333,367.476,0.61246,41.81,0.069683333,339.697,0.566161667,0,0,0.954253472,2.14341844,4.313866667,11.24225,45.9345,20.905,339.697
6A,6,E-L1 vs E-L2,U1,eye,A,2,1,F,Non-Native,603.436,293.497,291.626,0.486043333,316.613,0.527688333,279.58,0.465966667,393.132,0.65522,138.501,0.230835,162.82,0.271366667,194.059,0.323431667,0.228,0.147,1.220192469,2.852369369,4.9925,13.1044,8.147117647,18.09111111,38.8118
6B,6,E-L1 vs E-L2,U2,eye,A,2,1,M,Native,603.555,72.722,95.905,0.159841667,160.333,0.267221667,205.31,0.342183333,280.666,0.467776667,234.523,0.390871667,43.208,0.072013333,0.822,0.00137,98.28,44.925,1.880490196,5.01040625,8.926521739,15.59255556,18.04023077,4.800888889,0.117428571
6A,6,E-L1 vs E-L2,U1,wing,V,3,1,F,Non-Native,603.596,218.207,343.644,0.57274,183.916,0.306526667,349.855,0.583091667,212.331,0.353885,181.161,0.301935,275.392,0.458986667,435.814,0.726356667,308.736,577.917,2.03339645,1.735056604,4.792534247,4.517680851,7.548375,19.67085714,48.42377778
6B,6,E-L1 vs E-L2,U2,wing,V,3,1,M,Native,604.109,289.22,323.041,0.538401667,280.121,0.466868333,217.704,0.36284,211.96,0.353266667,218.372,0.363953333,90.21,0.15035,108.785,0.181308333,40.809,254.436,1.098778912,1.58260452,1.961297297,3.028,5.326146341,3.469615385,6.7990625
7A,7,E-L1 vs E-L2,U1,wing,V,1,14,M,Non-Native,603.899,270.253,279.708,0.46618,323.464,0.539106667,211.662,0.35277,384.659,0.641098333,60.7,0.101166667,60.497,0.100828333,60.497,0.100828333,0,0,2.237664,11.55228571,16.28169231,64.10983333,20.23333333,30.2485,30.2485
