User,Group,Language Group,Individual,Task,Media Condition,Trial,Order in Total,Gender,User Spoken Language,0.0_unitmotion_counts (Threshold = 0.0),0.05_unitmotion_counts (Threshold = 0.05),0.1_unitmotion_counts (Threshold = 0.1),0.15_unitmotion_counts (Threshold = 0.15),0.2_unitmotion_counts (Threshold = 0.2),0.25_unitmotion_counts (Threshold = 0.25),0.3_unitmotion_counts (Threshold = 0.3),0.35_unitmotion_counts (Threshold = 0.35),0.4_unitmotion_counts (Threshold = 0.4),0.45_unitmotion_counts (Threshold = 0.45),0.5_unitmotion_counts (Threshold = 0.5)
9A,9,E-L1 vs E-L2,U1,wing,F,2,3,F,Native,1,406,119,50,22,14,8,4,2,2,1
9B,9,E-L1 vs E-L2,U2,wing,F,2,3,M,Non-Native,1,344,98,30,13,3,1,0,0,0,0
9A,9,E-L1 vs E-L2,U1,thumb,A,3,3,F,Native,1,529,74,17,4,4,2,1,0,0,0
9B,9,E-L1 vs E-L2,U2,thumb,A,3,3,M,Non-Native,1,416,142,37,11,3,1,0,0,0,0
10A,10,E-L1 vs E-L2,U1,eye,V,1,7,M,Native,1,574,224,137,103,76,55,35,19,14,10
10B,10,E-L1 vs E-L2,U2,eye,V,1,7,F,Non-Native,1,424,173,94,42,15,4,0,0,0,0
10A,10,E-L1 vs E-L2,U1,wing,A,2,7,M,Native,1,384,115,52,27,13,4,1,0,0,0
10B,10,E-L1 vs E-L2,U2,wing,A,2,7,F,Non-Native,1,318,113,54,28,14,6,2,1,0,0
10A,10,E-L1 vs E-L2,U1,thumb,F,3,7,M,Native,1,667,235,103,47,19,5,3,2,0,0
10B,10,E-L1 vs E-L2,U2,thumb,F,3,7,F,Non-Native,1,506,195,88,40,14,5,2,0,0,0
11A,11,E-L1 vs E-L2,U1,wing,V,1,2,M,Native,1,482,163,83,54,34,16,7,2,1,1
11B,11,E-L1 vs E-L2,U2,wing,V,1,2,F,Non-Native,1,280,83,36,17,10,2,0,0,0,0
11A,11,E-L1 vs E-L2,U1,thumb,A,2,2,M,Native,1,675,136,36,11,5,0,0,0,0,0
11B,11,E-L1 vs E-L2,U2,thumb,A,2,2,F,Non-Native,1,200,50,20,7,2,0,0,0,0,0
11A,11,E-L1 vs E-L2,U1,eye,F,3,2,M,Native,1,352,97,39,20,13,7,4,2,1,0
11B,11,E-L1 vs E-L2,U2,eye,F,3,2,F,Non-Native,1,303,82,33,17,8,3,0,0,0,0
12A,12,E-L1 vs E-L2,U1,thumb,V,1,6,F,Non-Native,1,632,210,104,66,47,33,22,14,6,4
12B,12,E-L1 vs E-L2,U2,thumb,V,1,6,F,Native,1,356,136,77,40,18,9,4,2,1,1
12A,12,E-L1 vs E-L2,U1,eye,A,2,6,F,Non-Native,1,353,104,40,19,7,3,1,0,0,0
12B,12,E-L1 vs E-L2,U2,eye,A,2,6,F,Native,1,372,114,50,26,11,1,0,0,0,0
12A,12,E-L1 vs E-L2,U1,wing,F,3,6,F,Non-Native,1,621,184,65,19,8,3,1,1,1,0
12B,12,E-L1 vs E-L2,U2,wing,F,3,6,F,Native,1,440,162,82,45,20,5,1,0,0,0
13A,13,E-L1 vs E-L2,U1,eye,A,1,9,F,Non-Native,1,549,166,63,22,5,1,0,0,0,0
13B,13,E-L1 vs E-L2,U2,eye,A,1,9,M,Native,1,511,67,8,1,0,0,0,0,0,0
13A,13,E-L1 vs E-L2,U1,thumb,F,2,9,F,Non-Native,1,683,216,89,44,20,8,3,0,0,0
13B,13,E-L1 vs E-L2,U2,thumb,F,2,9,M,Native,1,969,294,108,44,18,7,2,1,0,0
